"DateTime","Precip (gridMET)","Acre-feet","Ensemble ET","Acre-feet","NDVI","Crop","Area","Field ID","ET Units","Source","Method"
"2018-01-01 05:00:00",1.508,4.959,0.684,2.250,0.313,"Unknown","39.47 Acres","0669148","in","OpenET","https://openetdata.org/#tool"
"2018-02-01 05:00:00",0.241,0.793,1.822,5.992,0.607,
"2018-03-01 05:00:00",3.569,11.738,3.296,10.840,0.753,
"2018-04-01 04:00:00",0.454,1.493,5.544,18.233,0.811,
"2018-05-01 04:00:00",0.002,0.007,3.469,11.409,0.378,
"2018-06-01 04:00:00",0.000,0.000,2.469,8.120,0.201,
"2018-07-01 04:00:00",0.000,0.000,6.920,22.758,0.568,
"2018-08-01 04:00:00",0.000,0.000,7.916,26.034,0.795,
"2018-09-01 04:00:00",0.000,0.000,5.079,16.704,0.649,
"2018-10-01 04:00:00",0.125,0.411,0.776,2.552,0.196,
"2018-11-01 04:00:00",1.631,5.364,0.571,1.878,0.180,
"2018-12-01 05:00:00",0.554,1.822,0.395,1.299,0.260,
"2019-01-01 05:00:00",2.283,7.508,0.941,3.095,0.602,
"2019-02-01 05:00:00",3.184,10.471,1.416,4.657,0.854,
"2019-03-01 05:00:00",1.663,5.469,2.888,9.498,0.852,
"2019-04-01 04:00:00",0.287,0.944,4.678,15.385,0.743,
"2019-05-01 04:00:00",2.025,6.660,3.074,10.110,0.233,
"2019-06-01 04:00:00",0.005,0.016,2.203,7.245,0.209,
"2019-07-01 04:00:00",0.000,0.000,7.673,25.235,0.667,
"2019-08-01 04:00:00",0.000,0.000,8.163,26.846,0.793,
"2019-09-01 04:00:00",0.000,0.000,4.912,16.154,0.641,
"2019-10-01 04:00:00",0.000,0.000,0.936,3.078,0.240,
"2019-11-01 04:00:00",0.665,2.187,1.001,3.292,0.218,
"2019-12-01 05:00:00",1.842,6.058,0.927,3.049,0.304,
"2020-01-01 05:00:00",0.625,2.055,0.644,2.118,0.183,
"2020-02-01 05:00:00",0.000,0.000,1.543,5.075,0.291,
"2020-03-01 05:00:00",2.309,7.594,3.060,10.064,0.657,
"2020-04-01 04:00:00",1.748,5.749,4.412,14.510,0.673,
"2020-05-01 04:00:00",0.222,0.730,3.090,10.162,0.278,
"2020-06-01 04:00:00",0.001,0.003,3.687,12.126,0.203,
"2020-07-01 04:00:00",0.000,0.000,3.917,12.882,0.233,
"2020-08-01 04:00:00",0.000,0.000,4.803,15.796,0.307,
"2020-09-01 04:00:00",0.000,0.000,2.597,8.541,0.277,
"2020-10-01 04:00:00",0.000,0.000,1.923,6.324,0.262,
"2020-11-01 04:00:00",0.269,0.885,1.041,3.424,0.250,
"2020-12-01 05:00:00",0.933,3.068,0.522,1.717,0.220,
"2021-01-01 05:00:00",2.977,9.791,0.819,2.694,0.271,
"2021-02-01 05:00:00",0.187,0.615,1.700,5.591,0.511,
"2021-03-01 05:00:00",1.098,3.611,3.294,10.833,0.695,
"2021-04-01 04:00:00",0.151,0.497,5.049,16.605,0.653,
"2021-05-01 04:00:00",0.000,0.000,3.387,11.139,0.286,
"2021-06-01 04:00:00",0.000,0.000,3.986,13.109,0.255,
"2021-07-01 04:00:00",0.008,0.026,5.358,17.621,0.353,
"2021-08-01 04:00:00",0.000,0.000,3.631,11.942,0.289,
"2021-09-01 04:00:00",0.000,0.000,2.857,9.396,0.264,
"2021-10-01 04:00:00",1.125,3.700,1.945,6.397,0.297,
"2021-11-01 04:00:00",0.221,0.727,1.145,3.766,0.364,
"2021-12-01 05:00:00",3.632,11.945,0.839,2.759,0.398,
"2022-01-01 05:00:00",0.008,0.026,0.999,3.285,0.334,
"2022-02-01 05:00:00",0.091,0.299,1.563,5.140,0.323,
"2022-03-01 05:00:00",1.021,3.358,2.680,8.814,0.343,
"2022-04-01 04:00:00",0.349,1.148,3.618,11.899,0.375,
"2022-05-01 04:00:00",0.000,0.000,4.194,13.793,0.370,
"2022-06-01 04:00:00",0.013,0.043,4.423,14.546,0.363,
"2022-07-01 04:00:00",0.000,0.000,6.080,19.996,0.393,
"2022-08-01 04:00:00",0.053,0.174,4.536,14.918,0.393,
"2022-09-01 04:00:00",0.169,0.556,3.874,12.741,0.380,
"2022-10-01 04:00:00",0.000,0.000,2.844,9.353,0.403,
"2022-11-01 04:00:00",0.807,2.654,1.550,5.098,0.470,
"2022-12-01 05:00:00",3.942,12.964,0.763,2.509,0.547,
"2023-01-01 05:00:00",4.171,13.718,1.116,3.670,0.511,
"2023-02-01 05:00:00",3.318,10.912,1.545,5.081,0.497,
"2023-03-01 05:00:00",4.456,14.655,2.450,8.058,0.497,
"2023-04-01 04:00:00",0.000,0.000,4.618,15.188,0.549,
"2023-05-01 04:00:00",0.198,0.651,5.173,17.013,0.537,
"2023-06-01 04:00:00",0.016,0.053,5.642,18.555,0.567,
"2023-07-01 04:00:00",0.000,0.000,6.817,22.420,0.542,
"2023-08-01 04:00:00",0.386,1.269,6.071,19.966,0.535,

